Symbol,Date,Open,High,Low,Close,Volume
DSBD.IDX,06-Apr-2021,1517,1530.12,1515.57,1524.45,24394500
DSBE.IDX,06-Apr-2021,181.21,185.1,180.81,183.66,1910700
DSBK.IDX,06-Apr-2021,541.82,546.1,538.95,542.5,156529600
DSBM.IDX,06-Apr-2021,516.05,520.19,514.37,516.73,78587300
DSBS.IDX,06-Apr-2021,273.59,276.61,271.42,272.43,39597700
DSBT.IDX,06-Apr-2021,2611.94,2631.41,2602.11,2608.47,75561800
DSBV.IDX,06-Apr-2021,868.74,878.52,868.74,874.77,34999700
DSCA.IDX,06-Apr-2021,992.23,1012.18,992.23,1004.55,29760100
DSCC.IDX,06-Apr-2021,645.83,649.49,641.81,645.52,11333100
DSCF.IDX,06-Apr-2021,382.98,388.56,381.95,387.48,27520300
DSCG.IDX,06-Apr-2021,1507.27,1530.5,1506.21,1523.11,233614500
DSCH.IDX,06-Apr-2021,823.26,829.91,821.12,825.14,38989600
DSCM.IDX,06-Apr-2021,723.96,728.6,722.04,724.12,14136700
DSCN.IDX,06-Apr-2021,1157.01,1167.29,1156.53,1162.55,28668500
DSCP.IDX,06-Apr-2021,501.09,507.65,499.96,507.54,17083800
DSCR.IDX,06-Apr-2021,6427.39,6448.49,6383.54,6410.22,115819300
DSCS.IDX,06-Apr-2021,2196.06,2210.11,2191.93,2194.83,10522800
DSCT.IDX,06-Apr-2021,1466.23,1468.73,1462.2,1466.08,43255500
DSCX.IDX,06-Apr-2021,1208.41,1221.28,1206.64,1214.71,27656500
DSCY.IDX,06-Apr-2021,1572.17,1586.31,1570.57,1580.04,597781000
DSDB.IDX,06-Apr-2021,922.48,935.72,919.07,927.47,2067700
DSDN.IDX,06-Apr-2021,468.5,471.12,466.64,469.76,5459500
DSDR.IDX,06-Apr-2021,844.54,852,844.54,846.9,27894600
DSDS.IDX,06-Apr-2021,470.08,474.91,468.68,469.09,5461400
DSDT.IDX,06-Apr-2021,66.05,66.52,65.82,66.15,2705000
DSDV.IDX,06-Apr-2021,184.5,184.5,183.55,183.78,15027500
DSEC.IDX,06-Apr-2021,524.56,525.63,520.87,521.87,17945400
DSEE.IDX,06-Apr-2021,655.84,658.32,652.39,653.68,33345400
DSEH.IDX,06-Apr-2021,77.82,79.96,77.81,78.66,273800
DSEN.IDX,06-Apr-2021,406.35,414.07,405.1,405.48,198291200
DSES.IDX,06-Apr-2021,305.43,306.49,303.65,305.4,2231900
DSEU.IDX,06-Apr-2021,305.72,308.34,304.37,308.27,71488100
DSFA.IDX,06-Apr-2021,877.04,882.82,869.58,879.92,36080800
DSFB.IDX,06-Apr-2021,711.31,718.99,711.13,716.27,82980600
DSFC.IDX,06-Apr-2021,139.81,141.04,139.72,141.04,33606100
DSFD.IDX,06-Apr-2021,623.14,631.07,623.06,627.37,21028800
DSFE.IDX,06-Apr-2021,900.24,906.67,895.81,897.27,17086000
DSFH.IDX,06-Apr-2021,475.29,478.68,469.73,474.18,2906100
DSFI.IDX,06-Apr-2021,1510.43,1515.04,1505.43,1512.94,115347600
DSFN.IDX,06-Apr-2021,751.9,754.59,750.72,753.56,465196700
DSFO.IDX,06-Apr-2021,441.3,445.99,440.85,444.4,47980900
